"Age","Workclass","Education","Occupation","Relationship","Race","Capital-gain","Capital-loss","Hours-per-week","Country","Outcome","Predicted outcome"
30,"Private","HS-grad","Priv-house-serv","Unmarried","White",0,0,35,"United-States","<=50K","<=50K"
20,"Private","Masters","Adm-clerical","Not-in-family","Black",0,0,11,"United-States",">50K",">50K"
43,"Private","Bachelors","Craft-repair","Not-in-family","White",0,0,48,"United-States","<=50K","<=50K"
37,"Private","No-school","Prof-specialty","Own-child","White",0,0,20,"United-States","<=50K","<=50K"
29,"Private","HS-grad","Adm-clerical","Unmarried","White",0,0,40,"United-States","<=50K","<=50K"
41,"Private","HS-grad","Transport-moving","Own-child","White",0,0,58,"United-States",">50K","<=50K"
47,"Private","No-school","Other-service","Husband","White",0,0,56,"United-States","<=50K","<=50K"
52,"Private","HS-grad","Handlers-cleaners","Husband","White",0,0,42,"Germany",">50K","<=50K"
17,"Private","HS-grad","Priv-house-serv","Husband","White",0,0,54,"United-States","<=50K","<=50K"
48,"Self-emp","College","Priv-house-serv","Wife","White",0,0,30,"United-States","<=50K","<=50K"
44,"Without-pay","Bachelors","Prof-specialty","Unmarried","White",0,0,31,"France",">50K",">50K"
38,"Private","No-school","Prof-specialty","Not-in-family","White",0,0,20,"United-States","<=50K","<=50K"
32,"Private","Masters","Adm-clerical","Other-relative","White",0,0,29,"United-States",">50K",">50K"
17,"Private","College","Machine-op-inspct","Not-in-family","White",15024,0,41,"United-States",">50K",">50K"
41,"Private","College","Adm-clerical","Husband","White",0,0,45,"Japan","<=50K","<=50K"
17,"Self-emp","HS-grad","Sales","Husband","White",0,0,19,"United-States","<=50K","<=50K"
37,"Private","No-school","Exec-managerial","Unmarried","White",0,0,31,"United-States","<=50K","<=50K"
45,"Private","College","Craft-repair","Not-in-family","White",0,0,25,"United-States","<=50K","<=50K"
17,"Private","College","Craft-repair","Husband","White",0,0,52,"United-States","<=50K","<=50K"
39,"Private","College","Prof-specialty","Husband","White",0,0,46,"United-States","<=50K","<=50K"
56,"Private","College","Sales","Husband","White",0,0,47,"United-States",">50K","<=50K"
27,"Self-emp","No-school","Sales","Not-in-family","White",0,0,41,"United-States","<=50K","<=50K"
52,"Gov","No-school","Craft-repair","Husband","White",0,0,55,"United-States","<=50K","<=50K"
37,"Private","HS-grad","Prof-specialty","Own-child","White",0,0,52,"United-States","<=50K","<=50K"
48,"Private","Bachelors","Craft-repair","Unmarried","White",0,0,45,"United-States",">50K","<=50K"
39,"Private","College","Handlers-cleaners","Wife","White",0,0,68,"United-States",">50K","<=50K"
43,"Private","College","Craft-repair","Wife","White",0,0,50,"United-States","<=50K","<=50K"
33,"Private","College","Adm-clerical","Husband","White",0,0,20,"United-States",">50K","<=50K"
41,"Private","College","Prof-specialty","Own-child","White",0,0,38,"Japan","<=50K","<=50K"
39,"Gov","College","Craft-repair","Not-in-family","White",0,0,31,"United-States","<=50K","<=50K"
19,"Private","No-school","Handlers-cleaners","Not-in-family","White",0,0,46,"United-States",">50K","<=50K"
31,"Private","No-school","Craft-repair","Not-in-family","White",0,0,51,"Mexico","<=50K","<=50K"
52,"Gov","Bachelors","Exec-managerial","Husband","White",0,0,30,"United-States","<=50K",">50K"
45,"Self-emp","No-school","Exec-managerial","Husband","Black",0,0,43,"United-States","<=50K","<=50K"
52,"Private","No-school","Exec-managerial","Husband","Black",0,0,56,"United-States",">50K","<=50K"
37,"Self-emp","No-school","Exec-managerial","Own-child","White",0,0,28,"Vietnam","<=50K","<=50K"
26,"Self-emp","HS-grad","Machine-op-inspct","Husband","White",0,0,46,"United-States",">50K","<=50K"
25,"Private","HS-grad","Other-service","Not-in-family","White",0,0,44,"United-States","<=50K","<=50K"
23,"Private","No-school","Priv-house-serv","Unmarried","White",0,0,40,"United-States","<=50K","<=50K"
21,"Private","Bachelors","Machine-op-inspct","Other-relative","White",0,0,58,"Vietnam",">50K","<=50K"
40,"Private","College","Protective-serv","Not-in-family","White",0,0,45,"United-States","<=50K","<=50K"
53,"Private","HS-grad","Exec-managerial","Husband","White",0,0,54,"United-States",">50K","<=50K"
24,"Private","HS-grad","Prof-specialty","Other-relative","White",0,0,44,"Canada",">50K","<=50K"
29,"Self-emp","No-school","Prof-specialty","Husband","White",0,0,18,"United-States","<=50K","<=50K"
18,"Private","College","Prof-specialty","Husband","White",0,0,37,"United-States",">50K","<=50K"
54,"Private","College","Tech-support","Not-in-family","White",0,0,35,"United-States","<=50K","<=50K"
43,"Private","College","Exec-managerial","Not-in-family","Black",0,0,32,"Puerto-Rico","<=50K","<=50K"
56,"Private","Bachelors","Craft-repair","Husband","White",0,0,40,"United-States","<=50K","<=50K"
27,"Private","No-school","Farming-fishing","Own-child","White",0,0,49,"United-States","<=50K","<=50K"
25,"Private","College","Exec-managerial","Own-child","White",0,0,43,"United-States","<=50K","<=50K"
41,"Self-emp","Bachelors","Craft-repair","Husband","White",0,0,37,"United-States","<=50K","<=50K"
40,"Self-emp","College","Machine-op-inspct","Own-child","White",0,0,36,"United-States","<=50K","<=50K"
35,"Gov","No-school","Priv-house-serv","Not-in-family","White",0,0,40,"United-States","<=50K","<=50K"
32,"Private","Masters","Exec-managerial","Husband","White",0,0,48,"United-States",">50K",">50K"
29,"Private","Bachelors","Exec-managerial","Unmarried","White",0,0,46,"United-States","<=50K",">50K"
43,"Private","HS-grad","Adm-clerical","Unmarried","White",0,0,50,"United-States","<=50K","<=50K"
48,"Private","Bachelors","Exec-managerial","Husband","White",0,0,37,"United-States",">50K",">50K"
36,"Gov","HS-grad","Craft-repair","Other-relative","White",0,0,38,"United-States","<=50K","<=50K"
17,"Private","Bachelors","Machine-op-inspct","Unmarried","White",0,0,40,"Puerto-Rico","<=50K","<=50K"
17,"Private","HS-grad","Sales","Own-child","White",0,0,51,"United-States",">50K","<=50K"
31,"Private","Masters","Sales","Not-in-family","White",0,0,38,"United-States",">50K","<=50K"
39,"Private","Bachelors","Prof-specialty","Not-in-family","White",15024,0,51,"Germany",">50K",">50K"
35,"Gov","Bachelors","Farming-fishing","Own-child","White",0,0,45,"United-States",">50K","<=50K"
17,"Private","College","Other-service","Husband","White",0,0,50,"United-States","<=50K","<=50K"
39,"Self-emp","College","Farming-fishing","Not-in-family","White",0,0,50,"United-States","<=50K","<=50K"
29,"Gov","College","Craft-repair","Husband","White",0,0,41,"United-States",">50K","<=50K"
26,"Private","No-school","Exec-managerial","Not-in-family","White",0,0,41,"United-States","<=50K","<=50K"
50,"Private","Bachelors","Adm-clerical","Husband","White",0,0,45,"United-States",">50K","<=50K"
46,"Private","No-school","Sales","Wife","White",0,0,51,"United-States","<=50K","<=50K"
54,"Private","HS-grad","Handlers-cleaners","Own-child","White",0,0,42,"Italy","<=50K","<=50K"
56,"Private","College","Adm-clerical","Own-child","White",0,0,27,"United-States","<=50K","<=50K"
17,"Private","HS-grad","Craft-repair","Own-child","White",0,0,51,"United-States","<=50K","<=50K"
35,"Private","No-school","Machine-op-inspct","Husband","White",0,2415,29,"United-States",">50K","<=50K"
42,"Private","HS-grad","Other-service","Own-child","White",0,0,56,"United-States","<=50K","<=50K"
58,"Gov","HS-grad","Exec-managerial","Unmarried","Asian-Pac-Islander",0,0,58,"United-States","<=50K","<=50K"
31,"Private","No-school","Other-service","Own-child","White",0,0,43,"United-States","<=50K","<=50K"
30,"Private","HS-grad","Adm-clerical","Husband","White",0,0,41,"United-States","<=50K","<=50K"
38,"Gov","Doctorate","Adm-clerical","Husband","White",0,0,24,"United-States",">50K","<=50K"
44,"Private","HS-grad","Prof-specialty","Husband","White",0,0,44,"United-States","<=50K","<=50K"
36,"Private","College","Craft-repair","Husband","White",0,0,29,"United-States","<=50K","<=50K"
59,"Gov","HS-grad","Craft-repair","Unmarried","White",15024,0,32,"United-States","<=50K","<=50K"
17,"Gov","College","Adm-clerical","Husband","White",0,0,63,"United-States","<=50K","<=50K"
24,"Private","College","Armed-Forces","Own-child","White",0,1902,31,"United-States","<=50K","<=50K"
39,"Private","No-school","Adm-clerical","Unmarried","White",0,0,40,"United-States","<=50K","<=50K"
77,"Private","HS-grad","Prof-specialty","Unmarried","White",0,0,31,"United-States","<=50K","<=50K"
38,"Without-pay","Bachelors","Prof-specialty","Husband","White",0,0,40,"United-States","<=50K",">50K"
47,"Private","College","Prof-specialty","Husband","Black",0,0,40,"Italy","<=50K","<=50K"
53,"Private","HS-grad","Prof-specialty","Own-child","White",0,0,32,"United-States","<=50K","<=50K"
36,"Private","College","Craft-repair","Not-in-family","White",0,0,32,"Germany","<=50K","<=50K"
34,"Private","Prof-school","Sales","Husband","White",0,0,49,"United-States",">50K",">50K"
26,"Private","College","Craft-repair","Husband","White",0,0,36,"United-States","<=50K","<=50K"
26,"Private","Bachelors","Protective-serv","Own-child","White",0,1848,28,"United-States",">50K",">50K"
17,"Self-emp","HS-grad","Exec-managerial","Husband","White",0,0,64,"Philippines","<=50K","<=50K"
30,"Private","College","Machine-op-inspct","Husband","White",0,0,45,"United-States","<=50K","<=50K"
35,"Private","College","Tech-support","Husband","White",0,0,49,"United-States","<=50K","<=50K"
43,"Private","Masters","Transport-moving","Not-in-family","White",0,0,56,"United-States",">50K",">50K"
26,"Private","Prof-school","Transport-moving","Own-child","White",0,0,34,"United-States","<=50K","<=50K"
33,"Private","Bachelors","Exec-managerial","Not-in-family","White",0,0,36,"United-States",">50K",">50K"
77,"Gov","Doctorate","Sales","Unmarried","White",0,0,38,"China",">50K",">50K"
39,"Private","No-school","Sales","Own-child","White",0,0,42,"Vietnam","<=50K","<=50K"
33,"Private","HS-grad","Craft-repair","Husband","White",0,0,27,"United-States","<=50K","<=50K"
48,"Private","Bachelors","Priv-house-serv","Not-in-family","White",0,1887,33,"United-States","<=50K","<=50K"
58,"Private","College","Machine-op-inspct","Husband","White",0,0,47,"United-States","<=50K","<=50K"
22,"Self-emp","No-school","Machine-op-inspct","Wife","White",0,0,27,"United-States","<=50K","<=50K"
24,"Private","College","Prof-specialty","Husband","White",0,0,53,"United-States","<=50K","<=50K"
21,"Private","No-school","Transport-moving","Unmarried","Black",0,0,46,"United-States","<=50K","<=50K"
26,"Private","HS-grad","Priv-house-serv","Not-in-family","White",0,0,29,"United-States","<=50K","<=50K"
33,"Private","Bachelors","Exec-managerial","Husband","White",0,0,53,"United-States",">50K",">50K"
28,"Private","No-school","Machine-op-inspct","Unmarried","White",0,0,48,"United-States","<=50K","<=50K"
20,"Private","Bachelors","Prof-specialty","Husband","White",0,0,41,"United-States","<=50K",">50K"
55,"Private","HS-grad","Craft-repair","Husband","White",0,0,38,"United-States","<=50K","<=50K"
30,"Private","College","Prof-specialty","Not-in-family","White",0,0,46,"United-States","<=50K","<=50K"
59,"Private","Bachelors","Prof-specialty","Not-in-family","White",0,0,53,"England","<=50K","<=50K"
36,"Self-emp","HS-grad","Other-service","Husband","White",0,0,32,"Italy","<=50K","<=50K"
56,"Private","Masters","Sales","Not-in-family","White",0,0,44,"United-States",">50K","<=50K"
28,"Private","College","Exec-managerial","Not-in-family","White",0,0,38,"United-States","<=50K","<=50K"
58,"Private","Masters","Other-service","Husband","White",0,0,39,"United-States",">50K",">50K"
39,"Private","No-school","Sales","Husband","White",0,1848,30,"Cuba","<=50K","<=50K"
27,"Private","Bachelors","Other-service","Husband","White",0,0,49,"Philippines",">50K","<=50K"
54,"Private","College","Transport-moving","Husband","White",0,0,40,"United-States",">50K","<=50K"
54,"Private","No-school","Adm-clerical","Husband","White",0,0,30,"United-States","<=50K","<=50K"
40,"Private","Masters","Machine-op-inspct","Husband","White",0,0,30,"United-States","<=50K",">50K"
18,"Private","No-school","Prof-specialty","Not-in-family","Black",0,0,45,"United-States","<=50K","<=50K"
43,"Self-emp","Bachelors","Sales","Unmarried","White",0,0,40,"Philippines",">50K",">50K"
47,"Private","Bachelors","Transport-moving","Own-child","White",0,0,39,"United-States","<=50K","<=50K"
35,"Private","HS-grad","Adm-clerical","Husband","Other",2174,0,28,"United-States","<=50K","<=50K"
44,"Private","HS-grad","Sales","Husband","White",0,0,38,"United-States","<=50K","<=50K"
31,"Private","Bachelors","Exec-managerial","Not-in-family","White",0,0,52,"Vietnam","<=50K",">50K"
36,"Private","No-school","Prof-specialty","Husband","White",0,0,36,"United-States","<=50K","<=50K"
17,"Private","Bachelors","Exec-managerial","Not-in-family","Black",0,0,45,"United-States",">50K",">50K"
35,"Gov","College","Prof-specialty","Husband","White",0,1902,24,"India","<=50K","<=50K"
17,"Private","Bachelors","Craft-repair","Husband","White",99999,0,36,"United-States",">50K","<=50K"
23,"Private","No-school","Prof-specialty","Own-child","White",0,0,39,"United-States","<=50K","<=50K"
24,"Gov","No-school","Sales","Not-in-family","White",0,0,50,"United-States","<=50K","<=50K"
29,"Self-emp","College","Exec-managerial","Husband","White",0,0,46,"Italy",">50K","<=50K"
34,"Private","Bachelors","Sales","Unmarried","Black",0,0,44,"United-States",">50K",">50K"
17,"Self-emp","College","Other-service","Other-relative","White",0,0,41,"United-States","<=50K","<=50K"
30,"Gov","College","Other-service","Unmarried","White",0,1848,75,"United-States","<=50K","<=50K"
25,"Self-emp","College","Transport-moving","Husband","White",0,0,37,"United-States",">50K","<=50K"
41,"Self-emp","Bachelors","Machine-op-inspct","Not-in-family","White",0,0,50,"United-States","<=50K",">50K"
21,"Private","HS-grad","Prof-specialty","Husband","White",0,0,43,"Mexico","<=50K","<=50K"
38,"Private","Bachelors","Adm-clerical","Own-child","White",0,0,29,"United-States",">50K","<=50K"
60,"Private","College","Machine-op-inspct","Own-child","White",0,0,36,"United-States","<=50K","<=50K"
57,"Private","College","Other-service","Not-in-family","White",0,0,59,"United-States","<=50K","<=50K"
39,"Private","College","Protective-serv","Unmarried","White",0,0,21,"United-States","<=50K","<=50K"
55,"Private","Masters","Prof-specialty","Unmarried","White",0,0,31,"Philippines",">50K",">50K"
34,"Private","College","Other-service","Not-in-family","White",0,0,24,"United-States","<=50K","<=50K"
48,"Self-emp","HS-grad","Exec-managerial","Not-in-family","White",0,0,50,"United-States",">50K","<=50K"
39,"Private","College","Exec-managerial","Unmarried","White",0,0,53,"United-States",">50K","<=50K"
46,"Private","Masters","Prof-specialty","Other-relative","White",0,0,41,"United-States","<=50K",">50K"
34,"Private","Bachelors","Prof-specialty","Husband","White",0,0,20,"United-States","<=50K","<=50K"
26,"Private","Bachelors","Machine-op-inspct","Husband","White",0,0,30,"Vietnam",">50K","<=50K"
24,"Gov","No-school","Prof-specialty","Not-in-family","Asian-Pac-Islander",0,0,66,"United-States","<=50K","<=50K"
25,"Private","No-school","Prof-specialty","Own-child","White",0,0,40,"United-States","<=50K","<=50K"
22,"Private","Bachelors","Exec-managerial","Own-child","White",0,0,37,"United-States","<=50K",">50K"
31,"Private","Masters","Sales","Husband","White",0,0,12,"United-States","<=50K","<=50K"
36,"Private","HS-grad","Exec-managerial","Other-relative","White",0,0,36,"United-States",">50K","<=50K"
53,"Private","Bachelors","Prof-specialty","Unmarried","White",0,0,43,"United-States","<=50K",">50K"
49,"Private","College","Adm-clerical","Unmarried","White",0,0,33,"United-States","<=50K","<=50K"
53,"Private","College","Transport-moving","Own-child","Black",7298,0,40,"United-States","<=50K","<=50K"
33,"Private","HS-grad","Adm-clerical","Own-child","Amer-Indian-Eskimo",0,0,40,"United-States",">50K","<=50K"
40,"Gov","College","Handlers-cleaners","Not-in-family","White",0,0,29,"United-States","<=50K","<=50K"
47,"Private","No-school","Sales","Husband","White",0,0,24,"United-States","<=50K","<=50K"
57,"Private","Bachelors","Craft-repair","Husband","White",0,0,54,"United-States","<=50K","<=50K"
44,"Self-emp","HS-grad","Handlers-cleaners","Own-child","White",99999,0,20,"United-States","<=50K","<=50K"
23,"Private","No-school","Adm-clerical","Husband","White",0,0,49,"United-States","<=50K","<=50K"
19,"Private","HS-grad","Protective-serv","Not-in-family","White",0,0,19,"United-States","<=50K","<=50K"
17,"Private","Bachelors","Prof-specialty","Husband","White",7688,0,46,"China",">50K","<=50K"
19,"Private","College","Craft-repair","Husband","White",0,0,33,"United-States",">50K","<=50K"
25,"Private","College","Prof-specialty","Wife","Black",0,0,21,"United-States","<=50K","<=50K"
52,"Private","HS-grad","Prof-specialty","Not-in-family","White",0,0,26,"United-States","<=50K","<=50K"
17,"Private","College","Craft-repair","Unmarried","White",0,0,34,"India","<=50K","<=50K"
43,"Gov","HS-grad","Priv-house-serv","Not-in-family","White",0,0,21,"England","<=50K","<=50K"
45,"Private","Bachelors","Sales","Husband","White",0,0,62,"United-States",">50K","<=50K"
73,"Private","No-school","Adm-clerical","Own-child","Asian-Pac-Islander",0,0,44,"United-States","<=50K","<=50K"
50,"Private","HS-grad","Craft-repair","Unmarried","White",0,0,49,"United-States","<=50K","<=50K"
27,"Private","Bachelors","Craft-repair","Not-in-family","Black",0,0,52,"United-States","<=50K","<=50K"
42,"Gov","Bachelors","Other-service","Other-relative","White",0,0,20,"United-States","<=50K","<=50K"
45,"Self-emp","College","Other-service","Husband","Black",0,0,38,"United-States",">50K","<=50K"
62,"Private","College","Armed-Forces","Not-in-family","White",0,0,33,"United-States","<=50K","<=50K"
22,"Gov","No-school","Sales","Not-in-family","White",0,0,49,"United-States","<=50K","<=50K"
17,"Self-emp","Bachelors","Adm-clerical","Husband","White",0,0,34,"China",">50K","<=50K"
31,"Private","College","Prof-specialty","Not-in-family","White",0,0,37,"Canada","<=50K","<=50K"
38,"Private","No-school","Farming-fishing","Wife","White",0,0,33,"United-States","<=50K","<=50K"
27,"Private","HS-grad","Prof-specialty","Not-in-family","Black",0,0,60,"United-States","<=50K","<=50K"
39,"Private","No-school","Adm-clerical","Wife","White",0,0,39,"United-States","<=50K","<=50K"
43,"Private","College","Adm-clerical","Own-child","White",0,0,33,"United-States","<=50K","<=50K"
34,"Private","College","Other-service","Not-in-family","White",0,0,25,"United-States","<=50K","<=50K"
31,"Self-emp","Prof-school","Sales","Not-in-family","White",5178,0,37,"Mexico",">50K",">50K"
60,"Private","HS-grad","Prof-specialty","Husband","White",0,0,20,"United-States","<=50K","<=50K"
38,"Gov","HS-grad","Sales","Unmarried","White",0,0,34,"United-States","<=50K","<=50K"
32,"Gov","HS-grad","Other-service","Husband","White",0,0,47,"United-States","<=50K","<=50K"
35,"Private","Bachelors","Armed-Forces","Husband","White",0,0,45,"France","<=50K","<=50K"
54,"Private","HS-grad","Sales","Other-relative","White",0,0,41,"United-States",">50K","<=50K"
49,"Private","HS-grad","Farming-fishing","Not-in-family","White",0,0,31,"United-States","<=50K","<=50K"
17,"Private","No-school","Prof-specialty","Husband","White",0,0,61,"United-States","<=50K","<=50K"
32,"Private","HS-grad","Other-service","Not-in-family","White",0,0,46,"United-States","<=50K","<=50K"
25,"Private","College","Other-service","Own-child","White",0,0,31,"Japan","<=50K","<=50K"
46,"Private","Masters","Adm-clerical","Unmarried","White",0,0,64,"United-States",">50K",">50K"
48,"Private","College","Protective-serv","Husband","White",0,0,25,"United-States","<=50K","<=50K"
35,"Private","No-school","Adm-clerical","Own-child","White",0,0,56,"United-States",">50K","<=50K"
40,"Private","College","Sales","Husband","White",0,0,34,"United-States","<=50K","<=50K"
58,"Gov","College","Armed-Forces","Husband","White",15024,0,31,"United-States",">50K",">50K"
31,"Private","No-school","Exec-managerial","Husband","White",0,0,57,"United-States",">50K","<=50K"
31,"Private","HS-grad","Tech-support","Husband","White",0,0,40,"Japan","<=50K","<=50K"
23,"Private","No-school","Prof-specialty","Not-in-family","White",0,0,40,"United-States","<=50K","<=50K"
45,"Private","College","Sales","Own-child","White",0,0,55,"United-States",">50K","<=50K"
26,"Private","College","Other-service","Husband","White",0,0,29,"United-States","<=50K","<=50K"
41,"Private","College","Craft-repair","Own-child","Black",0,0,42,"United-States","<=50K","<=50K"
33,"Private","Bachelors","Adm-clerical","Own-child","Black",0,0,19,"United-States","<=50K","<=50K"
50,"Gov","No-school","Other-service","Wife","White",0,0,58,"United-States","<=50K","<=50K"
54,"Private","No-school","Adm-clerical","Wife","White",0,0,52,"United-States",">50K","<=50K"
42,"Private","No-school","Craft-repair","Unmarried","White",0,0,34,"United-States","<=50K","<=50K"
47,"Private","College","Protective-serv","Not-in-family","White",0,0,29,"United-States","<=50K","<=50K"
24,"Private","HS-grad","Other-service","Husband","White",0,0,45,"United-States","<=50K","<=50K"
41,"Private","HS-grad","Prof-specialty","Own-child","White",0,0,42,"United-States","<=50K","<=50K"
21,"Private","No-school","Tech-support","Own-child","White",0,0,49,"United-States","<=50K","<=50K"
21,"Private","No-school","Adm-clerical","Husband","White",0,0,44,"United-States","<=50K","<=50K"
50,"Self-emp","HS-grad","Machine-op-inspct","Wife","White",0,0,55,"Mexico","<=50K","<=50K"
38,"Private","Masters","Sales","Husband","White",0,0,26,"United-States","<=50K","<=50K"
49,"Self-emp","No-school","Adm-clerical","Not-in-family","White",3103,0,33,"United-States","<=50K","<=50K"
38,"Private","HS-grad","Prof-specialty","Unmarried","Black",0,0,37,"United-States","<=50K","<=50K"
48,"Gov","HS-grad","Prof-specialty","Husband","Asian-Pac-Islander",0,0,51,"United-States","<=50K","<=50K"
30,"Private","HS-grad","Machine-op-inspct","Husband","White",0,0,60,"United-States","<=50K","<=50K"
26,"Private","HS-grad","Craft-repair","Not-in-family","White",0,0,35,"India","<=50K","<=50K"
34,"Private","No-school","Sales","Wife","White",0,0,53,"Mexico",">50K","<=50K"
33,"Private","College","Prof-specialty","Husband","White",0,0,38,"United-States","<=50K","<=50K"
41,"Private","College","Craft-repair","Husband","White",0,0,34,"United-States","<=50K","<=50K"
31,"Private","College","Adm-clerical","Wife","White",0,0,41,"United-States","<=50K","<=50K"
24,"Private","College","Prof-specialty","Own-child","White",0,0,41,"United-States","<=50K","<=50K"
34,"Private","College","Sales","Other-relative","White",0,0,34,"United-States","<=50K","<=50K"
41,"Private","HS-grad","Exec-managerial","Wife","White",0,0,53,"Iran",">50K","<=50K"
30,"Self-emp","Prof-school","Other-service","Unmarried","White",0,0,26,"United-States","<=50K","<=50K"
39,"Private","Masters","Sales","Own-child","White",0,0,22,"United-States","<=50K","<=50K"
33,"Private","No-school","Adm-clerical","Husband","White",0,0,44,"United-States","<=50K","<=50K"
35,"Private","College","Handlers-cleaners","Other-relative","White",0,0,48,"Vietnam","<=50K","<=50K"
22,"Private","HS-grad","Adm-clerical","Unmarried","White",0,0,44,"United-States","<=50K","<=50K"
50,"Private","No-school","Craft-repair","Not-in-family","White",0,0,58,"United-States",">50K","<=50K"
45,"Private","HS-grad","Prof-specialty","Unmarried","White",4386,0,28,"United-States","<=50K","<=50K"
53,"Private","College","Adm-clerical","Own-child","White",0,0,51,"United-States",">50K","<=50K"
55,"Private","College","Other-service","Husband","Black",0,0,45,"United-States",">50K","<=50K"
54,"Private","College","Tech-support","Not-in-family","White",0,0,31,"United-States","<=50K","<=50K"
18,"Private","Bachelors","Sales","Own-child","White",0,0,29,"United-States","<=50K","<=50K"
47,"Private","No-school","Prof-specialty","Unmarried","White",0,0,43,"Iran","<=50K","<=50K"
40,"Private","HS-grad","Craft-repair","Not-in-family","White",0,0,36,"United-States",">50K","<=50K"
42,"Private","College","Adm-clerical","Husband","White",5178,0,37,"United-States","<=50K","<=50K"
17,"Private","No-school","Sales","Husband","White",0,0,26,"United-States","<=50K","<=50K"
70,"Self-emp","HS-grad","Sales","Own-child","White",0,0,32,"United-States","<=50K","<=50K"
55,"Private","College","Other-service","Husband","White",0,0,54,"United-States","<=50K","<=50K"
49,"Private","HS-grad","Craft-repair","Own-child","White",0,0,34,"United-States","<=50K","<=50K"
47,"Private","Prof-school","Machine-op-inspct","Own-child","White",0,0,50,"United-States",">50K",">50K"
58,"Private","HS-grad","Machine-op-inspct","Husband","White",0,0,51,"United-States","<=50K","<=50K"
19,"Private","HS-grad","Farming-fishing","Not-in-family","White",0,0,45,"United-States","<=50K","<=50K"
45,"Self-emp","No-school","Exec-managerial","Husband","White",0,0,41,"United-States","<=50K","<=50K"
31,"Private","HS-grad","Exec-managerial","Not-in-family","White",0,0,38,"United-States",">50K","<=50K"
